condition,layer,k,branch,chain,level,pr
refinement,0,0,raw,apartment_building,0,4.965678161211847
refinement,0,0,raw,apartment_building,1,5.351002236095704
refinement,0,0,raw,apartment_building,2,5.5455339358298374
refinement,0,0,raw,apartment_building,3,4.391971165492755
refinement,0,0,raw,apartment_building,4,4.439326431497455
refinement,0,0,raw,emergency_vehicle,0,5.6278170216820484
refinement,0,0,raw,emergency_vehicle,1,5.2188941861859846
refinement,0,0,raw,emergency_vehicle,2,5.4150007369977144
refinement,0,0,raw,emergency_vehicle,3,5.7420042882176885
refinement,0,0,raw,emergency_vehicle,4,5.615371878024315
refinement,0,0,raw,employment_agreement,0,4.6761718832448995
refinement,0,0,raw,employment_agreement,1,4.958021530241628
refinement,0,0,raw,employment_agreement,2,5.082146820517438
refinement,0,0,raw,employment_agreement,3,5.500288286726077
refinement,0,0,raw,employment_agreement,4,4.406608019383589
refinement,0,0,raw,forensic_hospital,0,5.552453259394472
refinement,0,0,raw,forensic_hospital,1,4.609702758691633
refinement,0,0,raw,forensic_hospital,2,5.510600904813177
refinement,0,0,raw,forensic_hospital,3,5.111495226273559
refinement,0,0,raw,forensic_hospital,4,4.933652210964009
refinement,0,0,raw,graph_database,0,5.4357753297459634
refinement,0,0,raw,graph_database,1,5.333291483484762
refinement,0,0,raw,graph_database,2,4.699522138358523
refinement,0,0,raw,graph_database,3,5.23212677693701
refinement,0,0,raw,graph_database,4,4.830899575439008
refinement,0,0,raw,hiking_boot,0,4.718154021671957
refinement,0,0,raw,hiking_boot,1,3.6817800553512923
refinement,0,0,raw,hiking_boot,2,5.607916873946871
refinement,0,0,raw,hiking_boot,3,5.981723884564661
refinement,0,0,raw,hiking_boot,4,5.08084724726577
refinement,0,0,raw,medical_consent,0,5.9841722776479305
refinement,0,0,raw,medical_consent,1,4.256399324851831
refinement,0,0,raw,medical_consent,2,5.559188625832918
refinement,0,0,raw,medical_consent,3,4.696535859922849
refinement,0,0,raw,medical_consent,4,4.9010705888177855
refinement,0,0,raw,refugee_shelter,0,4.953197355785005
refinement,0,0,raw,refugee_shelter,1,4.603962219660339
refinement,0,0,raw,refugee_shelter,2,5.056478157446817
refinement,0,0,raw,refugee_shelter,3,5.362271966036345
refinement,0,0,raw,refugee_shelter,4,5.48454894411305
refinement,0,0,raw,rescue_drone,0,5.178811971610146
refinement,0,0,raw,rescue_drone,1,5.692368623311541
refinement,0,0,raw,rescue_drone,2,5.888538532441017
refinement,0,0,raw,rescue_drone,3,5.662630792302017
refinement,0,0,raw,rescue_drone,4,5.377894062344384
refinement,0,0,raw,research_university,0,5.296803284070732
refinement,0,0,raw,research_university,1,5.274035348842885
refinement,0,0,raw,research_university,2,5.142612659839854
refinement,0,0,raw,research_university,3,5.67227265380044
refinement,0,0,raw,research_university,4,5.512968864995817
refinement,0,1,deflate_top1,apartment_building,0,5.0285748070781695
refinement,0,1,deflate_top1,apartment_building,1,5.170698077621637
refinement,0,1,deflate_top1,apartment_building,2,5.833890925951634
refinement,0,1,deflate_top1,apartment_building,3,4.346563702844453
refinement,0,1,deflate_top1,apartment_building,4,4.403880507930913
